Strip Number,Connector #,Connector Pin #,CE Board #,CEB Channel #,ASIC,ASIC Channel
U337,1,1,10,31,2,15
Z467,1,4,10,30,2,14
Z468,1,7,10,29,2,13
U339,1,10,10,28,2,12
Z471,1,13,10,27,2,11
Z472,1,16,10,26,2,10
Z474,1,19,10,25,2,9
Z475,1,22,10,24,2,8
U342,1,25,10,23,2,7
Z478,1,28,10,22,2,6
Z479,1,31,10,21,2,5
U344,1,34,10,20,2,4
Z482,1,37,10,19,2,3
U345,1,40,10,18,2,2
Z485,1,43,10,17,2,1
Z486,1,46,10,16,2,0
U347,1,49,10,15,1,15
Z489,1,52,10,14,1,14
Z490,1,55,10,13,1,13
Z492,1,58,10,12,1,12
Z493,1,61,10,11,1,11
U350,1,64,10,10,1,10
Z496,1,67,10,9,1,9
Z497,1,70,10,8,1,8
U352,1,73,10,7,1,7
Z500,1,76,10,6,1,6
U353,1,79,10,5,1,5
Z503,1,82,10,4,1,4
Z504,1,85,10,3,1,3
U355,1,88,10,2,1,2
Z507,1,91,10,1,1,1
Z508,1,94,10,0,1,0
Z465,1,3,10,48,4,0
Z466,1,6,10,49,4,1
U338,1,9,10,50,4,2
Z469,1,12,10,51,4,3
Z470,1,15,10,52,4,4
U340,1,18,10,53,4,5
Z473,1,21,10,54,4,6
U341,1,24,10,55,4,7
Z476,1,27,10,56,4,8
Z477,1,30,10,57,4,9
U343,1,33,10,58,4,10
Z480,1,36,10,59,4,11
Z481,1,39,10,60,4,12
Z483,1,42,10,61,4,13
Z484,1,45,10,62,4,14
U346,1,48,10,63,4,15
Z487,1,51,10,32,3,0
Z488,1,54,10,33,3,1
U348,1,57,10,34,3,2
Z491,1,60,10,35,3,3
U349,1,63,10,36,3,4
Z494,1,66,10,37,3,5
Z495,1,69,10,38,3,6
U351,1,72,10,39,3,7
Z498,1,75,10,40,3,8
Z499,1,78,10,41,3,9
Z501,1,81,10,42,3,10
Z502,1,84,10,43,3,11
U354,1,87,10,44,3,12
Z505,1,90,10,45,3,13
Z506,1,93,10,46,3,14
U356,1,96,10,47,3,15
Z510,2,1,10,79,5,15
Z511,2,4,10,78,5,14
U358,2,7,10,77,5,13
Z514,2,10,10,76,5,12
Z515,2,13,10,75,5,11
U360,2,16,10,74,5,10
Z518,2,19,10,73,5,9
U361,2,22,10,72,5,8
Z521,2,25,10,71,5,7
Z522,2,28,10,70,5,6
U363,2,31,10,69,5,5
Z525,2,34,10,68,5,4
Z526,2,37,10,67,5,3
Z528,2,40,10,66,5,2
Z529,2,43,10,65,5,1
U366,2,46,10,64,5,0
Z532,2,49,10,95,6,15
Z533,2,52,10,94,6,14
U368,2,55,10,93,6,13
Z536,2,58,10,92,6,12
U369,2,61,10,91,6,11
Z539,2,64,10,90,6,10
Z540,2,67,10,89,6,9
U371,2,70,10,88,6,8
Z543,2,73,10,87,6,7
Z544,2,76,10,86,6,6
Z546,2,79,10,85,6,5
Z547,2,82,10,84,6,4
U374,2,85,10,83,6,3
Z550,2,88,10,82,6,2
Z551,2,91,10,81,6,1
Z553,2,94,10,80,6,0
Z509,2,3,10,96,7,0
U357,2,6,10,97,7,1
Z512,2,9,10,98,7,2
Z513,2,12,10,99,7,3
U359,2,15,10,100,7,4
Z516,2,18,10,101,7,5
Z517,2,21,10,102,7,6
Z519,2,24,10,103,7,7
Z520,2,27,10,104,7,8
U362,2,30,10,105,7,9
Z523,2,33,10,106,7,10
Z524,2,36,10,107,7,11
U364,2,39,10,108,7,12
Z527,2,42,10,109,7,13
U365,2,45,10,110,7,14
Z530,2,48,10,111,7,15
Z531,2,51,10,112,8,0
U367,2,54,10,113,8,1
Z534,2,57,10,114,8,2
Z535,2,60,10,115,8,3
Z537,2,63,10,116,8,4
Z538,2,66,10,117,8,5
U370,2,69,10,118,8,6
Z541,2,72,10,119,8,7
Z542,2,75,10,120,8,8
U372,2,78,10,121,8,9
Z545,2,81,10,122,8,10
U373,2,84,10,123,8,11
Z548,2,87,10,124,8,12
