Strip Number,Connector #,Connector Pin #,CE Board #,CEB Channel #,ASIC,ASIC Channel
Y575,1,1,12,31,2,15
Y573,1,4,12,30,2,14
Y571,1,7,12,29,2,13
Y569,1,10,12,28,2,12
Y567,1,13,12,27,2,11
Y565,1,16,12,26,2,10
Y563,1,19,12,25,2,9
Y561,1,22,12,24,2,8
Y559,1,25,12,23,2,7
Y557,1,28,12,22,2,6
Y555,1,31,12,21,2,5
Y553,1,34,12,20,2,4
Y551,1,37,12,19,2,3
Y549,1,40,12,18,2,2
Y547,1,43,12,17,2,1
Y545,1,46,12,16,2,0
Y543,1,49,12,15,1,15
Y541,1,52,12,14,1,14
Y539,1,55,12,13,1,13
Y537,1,58,12,12,1,12
Y535,1,61,12,11,1,11
Y533,1,64,12,10,1,10
Y531,1,67,12,9,1,9
Y529,1,70,12,8,1,8
Y527,1,73,12,7,1,7
Y525,1,76,12,6,1,6
Y523,1,79,12,5,1,5
Y521,1,82,12,4,1,4
Y519,1,85,12,3,1,3
Y517,1,88,12,2,1,2
Y515,1,91,12,1,1,1
Y513,1,94,12,0,1,0
Y576,1,3,12,48,4,0
Y574,1,6,12,49,4,1
Y572,1,9,12,50,4,2
Y570,1,12,12,51,4,3
Y568,1,15,12,52,4,4
Y566,1,18,12,53,4,5
Y564,1,21,12,54,4,6
Y562,1,24,12,55,4,7
Y560,1,27,12,56,4,8
Y558,1,30,12,57,4,9
Y556,1,33,12,58,4,10
Y554,1,36,12,59,4,11
Y552,1,39,12,60,4,12
Y550,1,42,12,61,4,13
Y548,1,45,12,62,4,14
Y546,1,48,12,63,4,15
Y544,1,51,12,32,3,0
Y542,1,54,12,33,3,1
Y540,1,57,12,34,3,2
Y538,1,60,12,35,3,3
Y536,1,63,12,36,3,4
Y534,1,66,12,37,3,5
Y532,1,69,12,38,3,6
Y530,1,72,12,39,3,7
Y528,1,75,12,40,3,8
Y526,1,78,12,41,3,9
Y524,1,81,12,42,3,10
Y522,1,84,12,43,3,11
Y520,1,87,12,44,3,12
Y518,1,90,12,45,3,13
Y516,1,93,12,46,3,14
Y514,1,96,12,47,3,15
Y511,2,1,12,79,5,15
Y509,2,4,12,78,5,14
Y507,2,7,12,77,5,13
Y505,2,10,12,76,5,12
Y503,2,13,12,75,5,11
Y501,2,16,12,74,5,10
Y499,2,19,12,73,5,9
Y497,2,22,12,72,5,8
Y495,2,25,12,71,5,7
Y493,2,28,12,70,5,6
Y491,2,31,12,69,5,5
Y489,2,34,12,68,5,4
Y487,2,37,12,67,5,3
Y485,2,40,12,66,5,2
Y483,2,43,12,65,5,1
Y481,2,46,12,64,5,0
Y479,2,49,12,95,6,15
Y477,2,52,12,94,6,14
Y475,2,55,12,93,6,13
Y473,2,58,12,92,6,12
Y471,2,61,12,91,6,11
Y469,2,64,12,90,6,10
Y467,2,67,12,89,6,9
Y465,2,70,12,88,6,8
Y463,2,73,12,87,6,7
Y461,2,76,12,86,6,6
Y459,2,79,12,85,6,5
Y457,2,82,12,84,6,4
Y455,2,85,12,83,6,3
Y453,2,88,12,82,6,2
Y451,2,91,12,81,6,1
Y449,2,94,12,80,6,0
Y512,2,3,12,96,7,0
Y510,2,6,12,97,7,1
Y508,2,9,12,98,7,2
Y506,2,12,12,99,7,3
Y504,2,15,12,100,7,4
Y502,2,18,12,101,7,5
Y500,2,21,12,102,7,6
Y498,2,24,12,103,7,7
Y496,2,27,12,104,7,8
Y494,2,30,12,105,7,9
Y492,2,33,12,106,7,10
Y490,2,36,12,107,7,11
Y488,2,39,12,108,7,12
Y486,2,42,12,109,7,13
Y484,2,45,12,110,7,14
Y482,2,48,12,111,7,15
Y480,2,51,12,112,8,0
Y478,2,54,12,113,8,1
Y476,2,57,12,114,8,2
Y474,2,60,12,115,8,3
Y472,2,63,12,116,8,4
Y470,2,66,12,117,8,5
Y468,2,69,12,118,8,6
Y466,2,72,12,119,8,7
Y464,2,75,12,120,8,8
Y462,2,78,12,121,8,9
Y460,2,81,12,122,8,10
Y458,2,84,12,123,8,11
Y456,2,87,12,124,8,12
Y454,2,90,12,125,8,13
Y452,2,93,12,126,8,14
Y450,2,96,12,127,8,15
