Strip Number,Connector #,Connector Pin #,CE Board #,CEB Channel #,ASIC,ASIC Channel
U257,1,1,8,31,2,15
Z291,1,4,8,30,2,14
Z292,1,7,8,29,2,13
U259,1,10,8,28,2,12
Z295,1,13,8,27,2,11
Z296,1,16,8,26,2,10
Z298,1,19,8,25,2,9
Z299,1,22,8,24,2,8
U262,1,25,8,23,2,7
Z302,1,28,8,22,2,6
Z303,1,31,8,21,2,5
U264,1,34,8,20,2,4
Z306,1,37,8,19,2,3
U265,1,40,8,18,2,2
Z309,1,43,8,17,2,1
Z310,1,46,8,16,2,0
U267,1,49,8,15,1,15
Z313,1,52,8,14,1,14
Z314,1,55,8,13,1,13
Z316,1,58,8,12,1,12
Z317,1,61,8,11,1,11
U270,1,64,8,10,1,10
Z320,1,67,8,9,1,9
Z321,1,70,8,8,1,8
U272,1,73,8,7,1,7
Z324,1,76,8,6,1,6
U273,1,79,8,5,1,5
Z327,1,82,8,4,1,4
Z328,1,85,8,3,1,3
U275,1,88,8,2,1,2
Z331,1,91,8,1,1,1
Z332,1,94,8,0,1,0
Z289,1,3,8,48,4,0
Z290,1,6,8,49,4,1
U258,1,9,8,50,4,2
Z293,1,12,8,51,4,3
Z294,1,15,8,52,4,4
U260,1,18,8,53,4,5
Z297,1,21,8,54,4,6
U261,1,24,8,55,4,7
Z300,1,27,8,56,4,8
Z301,1,30,8,57,4,9
U263,1,33,8,58,4,10
Z304,1,36,8,59,4,11
Z305,1,39,8,60,4,12
Z307,1,42,8,61,4,13
Z308,1,45,8,62,4,14
U266,1,48,8,63,4,15
Z311,1,51,8,32,3,0
Z312,1,54,8,33,3,1
U268,1,57,8,34,3,2
Z315,1,60,8,35,3,3
U269,1,63,8,36,3,4
Z318,1,66,8,37,3,5
Z319,1,69,8,38,3,6
U271,1,72,8,39,3,7
Z322,1,75,8,40,3,8
Z323,1,78,8,41,3,9
Z325,1,81,8,42,3,10
Z326,1,84,8,43,3,11
U274,1,87,8,44,3,12
Z329,1,90,8,45,3,13
Z330,1,93,8,46,3,14
U276,1,96,8,47,3,15
Z334,2,1,8,79,5,15
Z335,2,4,8,78,5,14
U278,2,7,8,77,5,13
Z338,2,10,8,76,5,12
Z339,2,13,8,75,5,11
U280,2,16,8,74,5,10
Z342,2,19,8,73,5,9
U281,2,22,8,72,5,8
Z345,2,25,8,71,5,7
Z346,2,28,8,70,5,6
U283,2,31,8,69,5,5
Z349,2,34,8,68,5,4
Z350,2,37,8,67,5,3
Z352,2,40,8,66,5,2
Z353,2,43,8,65,5,1
U286,2,46,8,64,5,0
Z356,2,49,8,95,6,15
Z357,2,52,8,94,6,14
U288,2,55,8,93,6,13
Z360,2,58,8,92,6,12
U289,2,61,8,91,6,11
Z363,2,64,8,90,6,10
Z364,2,67,8,89,6,9
U291,2,70,8,88,6,8
Z367,2,73,8,87,6,7
Z368,2,76,8,86,6,6
Z370,2,79,8,85,6,5
Z371,2,82,8,84,6,4
U294,2,85,8,83,6,3
Z374,2,88,8,82,6,2
Z375,2,91,8,81,6,1
U296,2,94,8,80,6,0
Z333,2,3,8,96,7,0
U277,2,6,8,97,7,1
Z336,2,9,8,98,7,2
Z337,2,12,8,99,7,3
U279,2,15,8,100,7,4
Z340,2,18,8,101,7,5
Z341,2,21,8,102,7,6
Z343,2,24,8,103,7,7
Z344,2,27,8,104,7,8
U282,2,30,8,105,7,9
Z347,2,33,8,106,7,10
Z348,2,36,8,107,7,11
U284,2,39,8,108,7,12
Z351,2,42,8,109,7,13
U285,2,45,8,110,7,14
Z354,2,48,8,111,7,15
Z355,2,51,8,112,8,0
U287,2,54,8,113,8,1
Z358,2,57,8,114,8,2
Z359,2,60,8,115,8,3
Z361,2,63,8,116,8,4
Z362,2,66,8,117,8,5
U290,2,69,8,118,8,6
Z365,2,72,8,119,8,7
Z366,2,75,8,120,8,8
U292,2,78,8,121,8,9
Z369,2,81,8,122,8,10
U293,2,84,8,123,8,11
Z372,2,87,8,124,8,12
Z373,2,90,8,125,8,13
U295,2,93,8,126,8,14
Z376,2,96,8,127,8,15
U297,1,1,9,31,2,15
Z379,1,4,9,30,2,14
Z380,1,7,9,29,2,13
U299,1,10,9,28,2,12
Z383,1,13,9,27,2,11
Z384,1,16,9,26,2,10
Z386,1,19,9,25,2,9
Z387,1,22,9,24,2,8
U302,1,25,9,23,2,7
Z390,1,28,9,22,2,6
