Strip Number,Connector #,Connector Pin #,CE Board #,CEB Channel #,ASIC,ASIC Channel
Z391,1,31,9,21,2,5
U304,1,34,9,20,2,4
Z394,1,37,9,19,2,3
U305,1,40,9,18,2,2
Z397,1,43,9,17,2,1
Z398,1,46,9,16,2,0
U307,1,49,9,15,1,15
Z401,1,52,9,14,1,14
Z402,1,55,9,13,1,13
Z404,1,58,9,12,1,12
Z405,1,61,9,11,1,11
U310,1,64,9,10,1,10
Z408,1,67,9,9,1,9
Z409,1,70,9,8,1,8
U312,1,73,9,7,1,7
Z412,1,76,9,6,1,6
U313,1,79,9,5,1,5
Z415,1,82,9,4,1,4
Z416,1,85,9,3,1,3
U315,1,88,9,2,1,2
Z419,1,91,9,1,1,1
Z420,1,94,9,0,1,0
Z377,1,3,9,48,4,0
Z378,1,6,9,49,4,1
U298,1,9,9,50,4,2
Z381,1,12,9,51,4,3
Z382,1,15,9,52,4,4
U300,1,18,9,53,4,5
Z385,1,21,9,54,4,6
U301,1,24,9,55,4,7
Z388,1,27,9,56,4,8
Z389,1,30,9,57,4,9
U303,1,33,9,58,4,10
Z392,1,36,9,59,4,11
Z393,1,39,9,60,4,12
Z395,1,42,9,61,4,13
Z396,1,45,9,62,4,14
U306,1,48,9,63,4,15
Z399,1,51,9,32,3,0
Z400,1,54,9,33,3,1
U308,1,57,9,34,3,2
Z403,1,60,9,35,3,3
U309,1,63,9,36,3,4
Z406,1,66,9,37,3,5
Z407,1,69,9,38,3,6
U311,1,72,9,39,3,7
Z410,1,75,9,40,3,8
Z411,1,78,9,41,3,9
Z413,1,81,9,42,3,10
Z414,1,84,9,43,3,11
U314,1,87,9,44,3,12
Z417,1,90,9,45,3,13
Z418,1,93,9,46,3,14
U316,1,96,9,47,3,15
Z422,2,1,9,79,5,15
Z423,2,4,9,78,5,14
U318,2,7,9,77,5,13
Z426,2,10,9,76,5,12
Z427,2,13,9,75,5,11
U320,2,16,9,74,5,10
Z430,2,19,9,73,5,9
U321,2,22,9,72,5,8
Z433,2,25,9,71,5,7
Z434,2,28,9,70,5,6
U323,2,31,9,69,5,5
Z437,2,34,9,68,5,4
Z438,2,37,9,67,5,3
Z440,2,40,9,66,5,2
Z441,2,43,9,65,5,1
U326,2,46,9,64,5,0
Z444,2,49,9,95,6,15
Z445,2,52,9,94,6,14
U328,2,55,9,93,6,13
Z448,2,58,9,92,6,12
U329,2,61,9,91,6,11
Z451,2,64,9,90,6,10
Z452,2,67,9,89,6,9
U331,2,70,9,88,6,8
Z455,2,73,9,87,6,7
Z456,2,76,9,86,6,6
Z458,2,79,9,85,6,5
Z459,2,82,9,84,6,4
U334,2,85,9,83,6,3
Z462,2,88,9,82,6,2
Z463,2,91,9,81,6,1
U336,2,94,9,80,6,0
Z421,2,3,9,96,7,0
U317,2,6,9,97,7,1
Z424,2,9,9,98,7,2
Z425,2,12,9,99,7,3
U319,2,15,9,100,7,4
Z428,2,18,9,101,7,5
Z429,2,21,9,102,7,6
Z431,2,24,9,103,7,7
Z432,2,27,9,104,7,8
U322,2,30,9,105,7,9
Z435,2,33,9,106,7,10
Z436,2,36,9,107,7,11
U324,2,39,9,108,7,12
Z439,2,42,9,109,7,13
U325,2,45,9,110,7,14
Z442,2,48,9,111,7,15
Z443,2,51,9,112,8,0
U327,2,54,9,113,8,1
Z446,2,57,9,114,8,2
Z447,2,60,9,115,8,3
Z449,2,63,9,116,8,4
Z450,2,66,9,117,8,5
U330,2,69,9,118,8,6
Z453,2,72,9,119,8,7
Z454,2,75,9,120,8,8
U332,2,78,9,121,8,9
Z457,2,81,9,122,8,10
U333,2,84,9,123,8,11
Z460,2,87,9,124,8,12
Z461,2,90,9,125,8,13
U335,2,93,9,126,8,14
Z464,2,96,9,127,8,15
