Strip Number,Connector #,Connector Pin #,CE Board #,CEB Channel #,ASIC,ASIC Channel
Z112,1,1,6,31,2,15
U179,1,4,6,30,2,14
Z115,1,7,6,29,2,13
Z116,1,10,6,28,2,12
U181,1,13,6,27,2,11
Z119,1,16,6,26,2,10
Z120,1,19,6,25,2,9
Z122,1,22,6,24,2,8
Z123,1,25,6,23,2,7
U184,1,28,6,22,2,6
Z126,1,31,6,21,2,5
Z127,1,34,6,20,2,4
U186,1,37,6,19,2,3
Z130,1,40,6,18,2,2
U187,1,43,6,17,2,1
Z133,1,46,6,16,2,0
Z134,1,49,6,15,1,15
U189,1,52,6,14,1,14
Z137,1,55,6,13,1,13
Z138,1,58,6,12,1,12
Z140,1,61,6,11,1,11
Z141,1,64,6,10,1,10
U192,1,67,6,9,1,9
Z144,1,70,6,8,1,8
Z145,1,73,6,7,1,7
U194,1,76,6,6,1,6
Z148,1,79,6,5,1,5
U195,1,82,6,4,1,4
Z151,1,85,6,3,1,3
Z152,1,88,6,2,1,2
U197,1,91,6,1,1,1
Z155,1,94,6,0,1,0
Z111,1,3,6,48,4,0
Z113,1,6,6,49,4,1
Z114,1,9,6,50,4,2
U180,1,12,6,51,4,3
Z117,1,15,6,52,4,4
Z118,1,18,6,53,4,5
U182,1,21,6,54,4,6
Z121,1,24,6,55,4,7
U183,1,27,6,56,4,8
Z124,1,30,6,57,4,9
Z125,1,33,6,58,4,10
U185,1,36,6,59,4,11
Z128,1,39,6,60,4,12
Z129,1,42,6,61,4,13
Z131,1,45,6,62,4,14
Z132,1,48,6,63,4,15
U188,1,51,6,32,3,0
Z135,1,54,6,33,3,1
Z136,1,57,6,34,3,2
U190,1,60,6,35,3,3
Z139,1,63,6,36,3,4
U191,1,66,6,37,3,5
Z142,1,69,6,38,3,6
Z143,1,72,6,39,3,7
U193,1,75,6,40,3,8
Z146,1,78,6,41,3,9
Z147,1,81,6,42,3,10
Z149,1,84,6,43,3,11
Z150,1,87,6,44,3,12
U196,1,90,6,45,3,13
Z153,1,93,6,46,3,14
Z154,1,96,6,47,3,15
U198,2,1,6,79,5,15
Z158,2,4,6,78,5,14
Z159,2,7,6,77,5,13
U200,2,10,6,76,5,12
Z162,2,13,6,75,5,11
Z163,2,16,6,74,5,10
U202,2,19,6,73,5,9
Z166,2,22,6,72,5,8
U203,2,25,6,71,5,7
Z169,2,28,6,70,5,6
Z170,2,31,6,69,5,5
U205,2,34,6,68,5,4
Z173,2,37,6,67,5,3
Z174,2,40,6,66,5,2
Z176,2,43,6,65,5,1
Z177,2,46,6,64,5,0
U208,2,49,6,95,6,15
Z180,2,52,6,94,6,14
Z181,2,55,6,93,6,13
U210,2,58,6,92,6,12
Z184,2,61,6,91,6,11
U211,2,64,6,90,6,10
Z187,2,67,6,89,6,9
Z188,2,70,6,88,6,8
U213,2,73,6,87,6,7
Z191,2,76,6,86,6,6
Z192,2,79,6,85,6,5
Z194,2,82,6,84,6,4
Z195,2,85,6,83,6,3
U216,2,88,6,82,6,2
Z198,2,91,6,81,6,1
Z199,2,94,6,80,6,0
Z156,2,3,6,96,7,0
Z157,2,6,6,97,7,1
U199,2,9,6,98,7,2
Z160,2,12,6,99,7,3
Z161,2,15,6,100,7,4
U201,2,18,6,101,7,5
Z164,2,21,6,102,7,6
Z165,2,24,6,103,7,7
Z167,2,27,6,104,7,8
Z168,2,30,6,105,7,9
U204,2,33,6,106,7,10
Z171,2,36,6,107,7,11
Z172,2,39,6,108,7,12
U206,2,42,6,109,7,13
Z175,2,45,6,110,7,14
U207,2,48,6,111,7,15
Z178,2,51,6,112,8,0
Z179,2,54,6,113,8,1
U209,2,57,6,114,8,2
Z182,2,60,6,115,8,3
Z183,2,63,6,116,8,4
Z185,2,66,6,117,8,5
Z186,2,69,6,118,8,6
U212,2,72,6,119,8,7
Z189,2,75,6,120,8,8
Z190,2,78,6,121,8,9
U214,2,81,6,122,8,10
Z193,2,84,6,123,8,11
U215,2,87,6,124,8,12
Z196,2,90,6,125,8,13
Z197,2,93,6,126,8,14
U217,2,96,6,127,8,15
Z201,1,1,7,31,2,15
Z202,1,4,7,30,2,14
U219,1,7,7,29,2,13
Z205,1,10,7,28,2,12
Z206,1,13,7,27,2,11
U221,1,16,7,26,2,10
Z209,1,19,7,25,2,9
U222,1,22,7,24,2,8
Z212,1,25,7,23,2,7
Z213,1,28,7,22,2,6
U224,1,31,7,21,2,5
Z216,1,34,7,20,2,4
Z217,1,37,7,19,2,3
Z219,1,40,7,18,2,2
Z220,1,43,7,17,2,1
U227,1,46,7,16,2,0
Z223,1,49,7,15,1,15
Z224,1,52,7,14,1,14
U229,1,55,7,13,1,13
Z227,1,58,7,12,1,12
U230,1,61,7,11,1,11
Z230,1,64,7,10,1,10
Z231,1,67,7,9,1,9
U232,1,70,7,8,1,8
Z234,1,73,7,7,1,7
Z235,1,76,7,6,1,6
Z237,1,79,7,5,1,5
Z238,1,82,7,4,1,4
U235,1,85,7,3,1,3
Z241,1,88,7,2,1,2
Z242,1,91,7,1,1,1
U237,1,94,7,0,1,0
Z200,1,3,7,48,4,0
U218,1,6,7,49,4,1
Z203,1,9,7,50,4,2
Z204,1,12,7,51,4,3
U220,1,15,7,52,4,4
Z207,1,18,7,53,4,5
Z208,1,21,7,54,4,6
Z210,1,24,7,55,4,7
Z211,1,27,7,56,4,8
U223,1,30,7,57,4,9
Z214,1,33,7,58,4,10
Z215,1,36,7,59,4,11
U225,1,39,7,60,4,12
Z218,1,42,7,61,4,13
U226,1,45,7,62,4,14
Z221,1,48,7,63,4,15
Z222,1,51,7,32,3,0
U228,1,54,7,33,3,1
Z225,1,57,7,34,3,2
Z226,1,60,7,35,3,3
Z228,1,63,7,36,3,4
Z229,1,66,7,37,3,5
U231,1,69,7,38,3,6
Z232,1,72,7,39,3,7
Z233,1,75,7,40,3,8
U233,1,78,7,41,3,9
Z236,1,81,7,42,3,10
U234,1,84,7,43,3,11
Z239,1,87,7,44,3,12
Z240,1,90,7,45,3,13
U236,1,93,7,46,3,14
Z243,1,96,7,47,3,15
Z245,2,1,7,79,5,15
U238,2,4,7,78,5,14
Z248,2,7,7,77,5,13
Z249,2,10,7,76,5,12
U240,2,13,7,75,5,11
Z252,2,16,7,74,5,10
Z253,2,19,7,73,5,9
Z255,2,22,7,72,5,8
Z256,2,25,7,71,5,7
U243,2,28,7,70,5,6
Z259,2,31,7,69,5,5
Z260,2,34,7,68,5,4
U245,2,37,7,67,5,3
Z263,2,40,7,66,5,2
U246,2,43,7,65,5,1
Z266,2,46,7,64,5,0
Z267,2,49,7,95,6,15
U248,2,52,7,94,6,14
Z270,2,55,7,93,6,13
Z271,2,58,7,92,6,12
Z273,2,61,7,91,6,11
Z274,2,64,7,90,6,10
U251,2,67,7,89,6,9
Z277,2,70,7,88,6,8
Z278,2,73,7,87,6,7
U253,2,76,7,86,6,6
Z281,2,79,7,85,6,5
U254,2,82,7,84,6,4
Z284,2,85,7,83,6,3
Z285,2,88,7,82,6,2
U256,2,91,7,81,6,1
Z288,2,94,7,80,6,0
Z244,2,3,7,96,7,0
Z246,2,6,7,97,7,1
Z247,2,9,7,98,7,2
U239,2,12,7,99,7,3
Z250,2,15,7,100,7,4
Z251,2,18,7,101,7,5
