Strip Number,Connector #,Connector Pin #,CE Board #,CEB Channel #,ASIC,ASIC Channel
U241,2,21,7,102,7,6
Z254,2,24,7,103,7,7
U242,2,27,7,104,7,8
Z257,2,30,7,105,7,9
Z258,2,33,7,106,7,10
U244,2,36,7,107,7,11
Z261,2,39,7,108,7,12
Z262,2,42,7,109,7,13
Z264,2,45,7,110,7,14
Z265,2,48,7,111,7,15
U247,2,51,7,112,8,0
Z268,2,54,7,113,8,1
Z269,2,57,7,114,8,2
U249,2,60,7,115,8,3
Z272,2,63,7,116,8,4
U250,2,66,7,117,8,5
Z275,2,69,7,118,8,6
Z276,2,72,7,119,8,7
U252,2,75,7,120,8,8
Z279,2,78,7,121,8,9
Z280,2,81,7,122,8,10
Z282,2,84,7,123,8,11
Z283,2,87,7,124,8,12
U255,2,90,7,125,8,13
Z286,2,93,7,126,8,14
Z287,2,96,7,127,8,15
