Strip Number,Connector #,Connector Pin #,CE Board #,CEB Channel #,ASIC,ASIC Channel
Y447,1,1,13,31,2,15
Y445,1,4,13,30,2,14
Y443,1,7,13,29,2,13
Y441,1,10,13,28,2,12
Y439,1,13,13,27,2,11
Y437,1,16,13,26,2,10
Y435,1,19,13,25,2,9
Y433,1,22,13,24,2,8
Y431,1,25,13,23,2,7
Y429,1,28,13,22,2,6
Y427,1,31,13,21,2,5
Y425,1,34,13,20,2,4
Y423,1,37,13,19,2,3
Y421,1,40,13,18,2,2
Y419,1,43,13,17,2,1
Y417,1,46,13,16,2,0
Y415,1,49,13,15,1,15
Y413,1,52,13,14,1,14
Y411,1,55,13,13,1,13
Y409,1,58,13,12,1,12
Y407,1,61,13,11,1,11
Y405,1,64,13,10,1,10
Y403,1,67,13,9,1,9
Y401,1,70,13,8,1,8
Y399,1,73,13,7,1,7
Y397,1,76,13,6,1,6
Y395,1,79,13,5,1,5
Y393,1,82,13,4,1,4
Y391,1,85,13,3,1,3
Y389,1,88,13,2,1,2
Y387,1,91,13,1,1,1
Y385,1,94,13,0,1,0
Y448,1,3,13,48,4,0
Y446,1,6,13,49,4,1
Y444,1,9,13,50,4,2
Y442,1,12,13,51,4,3
Y440,1,15,13,52,4,4
Y438,1,18,13,53,4,5
Y436,1,21,13,54,4,6
Y434,1,24,13,55,4,7
Y432,1,27,13,56,4,8
Y430,1,30,13,57,4,9
Y428,1,33,13,58,4,10
Y426,1,36,13,59,4,11
Y424,1,39,13,60,4,12
Y422,1,42,13,61,4,13
Y420,1,45,13,62,4,14
Y418,1,48,13,63,4,15
Y416,1,51,13,32,3,0
Y414,1,54,13,33,3,1
Y412,1,57,13,34,3,2
Y410,1,60,13,35,3,3
Y408,1,63,13,36,3,4
Y406,1,66,13,37,3,5
Y404,1,69,13,38,3,6
Y402,1,72,13,39,3,7
Y400,1,75,13,40,3,8
Y398,1,78,13,41,3,9
Y396,1,81,13,42,3,10
Y394,1,84,13,43,3,11
Y392,1,87,13,44,3,12
Y390,1,90,13,45,3,13
Y388,1,93,13,46,3,14
Y386,1,96,13,47,3,15
Y383,2,1,13,79,5,15
Y381,2,4,13,78,5,14
Y379,2,7,13,77,5,13
Y377,2,10,13,76,5,12
Y375,2,13,13,75,5,11
Y373,2,16,13,74,5,10
Y371,2,19,13,73,5,9
Y369,2,22,13,72,5,8
Y367,2,25,13,71,5,7
Y365,2,28,13,70,5,6
Y363,2,31,13,69,5,5
Y361,2,34,13,68,5,4
Y359,2,37,13,67,5,3
Y357,2,40,13,66,5,2
Y355,2,43,13,65,5,1
Y353,2,46,13,64,5,0
Y351,2,49,13,95,6,15
Y349,2,52,13,94,6,14
Y347,2,55,13,93,6,13
Y345,2,58,13,92,6,12
Y343,2,61,13,91,6,11
Y341,2,64,13,90,6,10
Y339,2,67,13,89,6,9
Y337,2,70,13,88,6,8
Y335,2,73,13,87,6,7
Y333,2,76,13,86,6,6
Y331,2,79,13,85,6,5
Y329,2,82,13,84,6,4
Y327,2,85,13,83,6,3
Y325,2,88,13,82,6,2
Y323,2,91,13,81,6,1
Y321,2,94,13,80,6,0
Y384,2,3,13,96,7,0
Y382,2,6,13,97,7,1
Y380,2,9,13,98,7,2
Y378,2,12,13,99,7,3
Y376,2,15,13,100,7,4
Y374,2,18,13,101,7,5
Y372,2,21,13,102,7,6
Y370,2,24,13,103,7,7
Y368,2,27,13,104,7,8
Y366,2,30,13,105,7,9
Y364,2,33,13,106,7,10
Y362,2,36,13,107,7,11
Y360,2,39,13,108,7,12
Y358,2,42,13,109,7,13
Y356,2,45,13,110,7,14
Y354,2,48,13,111,7,15
Y352,2,51,13,112,8,0
Y350,2,54,13,113,8,1
Y348,2,57,13,114,8,2
Y346,2,60,13,115,8,3
Y344,2,63,13,116,8,4
Y342,2,66,13,117,8,5
Y340,2,69,13,118,8,6
Y338,2,72,13,119,8,7
Y336,2,75,13,120,8,8
Y334,2,78,13,121,8,9
Y332,2,81,13,122,8,10
Y330,2,84,13,123,8,11
Y328,2,87,13,124,8,12
Y326,2,90,13,125,8,13
Y324,2,93,13,126,8,14
Y322,2,96,13,127,8,15
