Strip Number,Connector #,Connector Pin #,CE Board #,CEB Channel #,ASIC,ASIC Channel
Y161,1,1,3,31,2,15
U66,1,4,3,30,2,14
Y164,1,7,3,29,2,13
U67,1,10,3,28,2,12
Y167,1,13,3,27,2,11
Y168,1,16,3,26,2,10
Y170,1,19,3,25,2,9
Y171,1,22,3,24,2,8
U70,1,25,3,23,2,7
Y174,1,28,3,22,2,6
U71,1,31,3,21,2,5
Y177,1,34,3,20,2,4
Y178,1,37,3,19,2,3
Y180,1,40,3,18,2,2
Y181,1,43,3,17,2,1
U74,1,46,3,16,2,0
Y184,1,49,3,15,1,15
U75,1,52,3,14,1,14
Y187,1,55,3,13,1,13
Y188,1,58,3,12,1,12
Y190,1,61,3,11,1,11
Y191,1,64,3,10,1,10
U78,1,67,3,9,1,9
Y194,1,70,3,8,1,8
U79,1,73,3,7,1,7
Y197,1,76,3,6,1,6
Y198,1,79,3,5,1,5
Y200,1,82,3,4,1,4
Y201,1,85,3,3,1,3
U82,1,88,3,2,1,2
Y204,1,91,3,1,1,1
U83,1,94,3,0,1,0
U65,1,3,3,48,4,0
Y162,1,6,3,49,4,1
Y163,1,9,3,50,4,2
Y165,1,12,3,51,4,3
Y166,1,15,3,52,4,4
U68,1,18,3,53,4,5
Y169,1,21,3,54,4,6
U69,1,24,3,55,4,7
Y172,1,27,3,56,4,8
Y173,1,30,3,57,4,9
Y175,1,33,3,58,4,10
Y176,1,36,3,59,4,11
U72,1,39,3,60,4,12
Y179,1,42,3,61,4,13
U73,1,45,3,62,4,14
Y182,1,48,3,63,4,15
Y183,1,51,3,32,3,0
Y185,1,54,3,33,3,1
Y186,1,57,3,34,3,2
U76,1,60,3,35,3,3
Y189,1,63,3,36,3,4
U77,1,66,3,37,3,5
Y192,1,69,3,38,3,6
Y193,1,72,3,39,3,7
Y195,1,75,3,40,3,8
Y196,1,78,3,41,3,9
U80,1,81,3,42,3,10
Y199,1,84,3,43,3,11
U81,1,87,3,44,3,12
Y202,1,90,3,45,3,13
Y203,1,93,3,46,3,14
Y205,1,96,3,47,3,15
Y207,2,1,3,79,5,15
Y208,2,4,3,78,5,14
Y210,2,7,3,77,5,13
Y211,2,10,3,76,5,12
U86,2,13,3,75,5,11
Y214,2,16,3,74,5,10
U87,2,19,3,73,5,9
Y217,2,22,3,72,5,8
Y218,2,25,3,71,5,7
Y220,2,28,3,70,5,6
Y221,2,31,3,69,5,5
U90,2,34,3,68,5,4
Y224,2,37,3,67,5,3
U91,2,40,3,66,5,2
Y227,2,43,3,65,5,1
Y228,2,46,3,64,5,0
Y230,2,49,3,95,6,15
Y231,2,52,3,94,6,14
U94,2,55,3,93,6,13
Y234,2,58,3,92,6,12
U95,2,61,3,91,6,11
Y237,2,64,3,90,6,10
Y238,2,67,3,89,6,9
Y240,2,70,3,88,6,8
Y241,2,73,3,87,6,7
U98,2,76,3,86,6,6
Y244,2,79,3,85,6,5
U99,2,82,3,84,6,4
Y247,2,85,3,83,6,3
Y248,2,88,3,82,6,2
Y250,2,91,3,81,6,1
Y252,2,94,3,80,6,0
Y206,2,3,3,96,7,0
U84,2,6,3,97,7,1
Y209,2,9,3,98,7,2
U85,2,12,3,99,7,3
Y212,2,15,3,100,7,4
Y213,2,18,3,101,7,5
Y215,2,21,3,102,7,6
Y216,2,24,3,103,7,7
U88,2,27,3,104,7,8
Y219,2,30,3,105,7,9
U89,2,33,3,106,7,10
Y222,2,36,3,107,7,11
Y223,2,39,3,108,7,12
Y225,2,42,3,109,7,13
Y226,2,45,3,110,7,14
U92,2,48,3,111,7,15
Y229,2,51,3,112,8,0
U93,2,54,3,113,8,1
Y232,2,57,3,114,8,2
Y233,2,60,3,115,8,3
Y235,2,63,3,116,8,4
Y236,2,66,3,117,8,5
U96,2,69,3,118,8,6
Y239,2,72,3,119,8,7
U97,2,75,3,120,8,8
Y242,2,78,3,121,8,9
Y243,2,81,3,122,8,10
Y245,2,84,3,123,8,11
Y246,2,87,3,124,8,12
U100,2,90,3,125,8,13
Y249,2,93,3,126,8,14
Y251,2,96,3,127,8,15
